CaseID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,processId,resourceId
Case1,A,,2023-03-27 11:00:00.000,2023-03-27 11:00:00.000,Variant 1,1,sid-19C8A72F-9625-47DD-A686-BF83A49A96EF,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,
Case1,C,Default Resource-000001,2023-03-27 11:00:00.000,2023-03-27 11:00:05.000,Variant 1,1,sid-C66D30B9-C993-4841-9852-4B5FFB3A486E,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,B,Default Resource-000001,2023-03-27 11:00:05.000,2023-03-27 11:00:10.000,Variant 1,1,sid-6BAA60C9-CD08-40D0-B6E2-C448EAF96380,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,D,Default Resource-000001,2023-03-27 11:00:10.000,2023-03-27 11:00:15.000,Variant 1,1,sid-488ECB8F-D2C2-4270-99B3-EFA7BC1EA9A0,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,E,Default Resource-000001,2023-03-27 11:00:15.000,2023-03-27 11:00:20.000,Variant 1,1,sid-1E13B22C-B767-436C-B5E4-01AE2D93AAB0,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,G,Default Resource-000001,2023-03-27 11:00:20.000,2023-03-27 11:00:25.000,Variant 1,1,sid-CAD7EBE4-4F39-44E6-B810-45F6B392E9CB,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,H,Default Resource-000001,2023-03-27 11:00:25.000,2023-03-27 11:00:30.000,Variant 1,1,sid-61CE659E-27A3-4AC8-86DD-2F5FBAE2F254,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,I,Default Resource-000001,2023-03-27 11:00:30.000,2023-03-27 11:00:35.000,Variant 1,1,sid-60C5D0B4-0A59-4066-B4E5-D95F54E33AB5,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,J,Default Resource-000001,2023-03-27 11:00:35.000,2023-03-27 11:00:40.000,Variant 1,1,sid-315A20CF-F1BE-4C53-8413-BEC31F4A9D2F,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,K,Default Resource-000001,2023-03-27 11:00:40.000,2023-03-27 11:00:45.000,Variant 1,1,sid-0988F0F5-D75C-4501-AABD-5A0440581483,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case1,L,,2023-03-27 11:00:45.000,2023-03-27 11:00:45.000,Variant 1,1,sid-781AD985-F18D-483F-91AD-11C798FCEA96,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,
Case2,A,,2023-03-27 11:08:35.596,2023-03-27 11:08:35.596,Variant 2,2,sid-19C8A72F-9625-47DD-A686-BF83A49A96EF,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,
Case2,C,Default Resource-000001,2023-03-27 11:08:35.596,2023-03-27 11:08:40.596,Variant 2,2,sid-C66D30B9-C993-4841-9852-4B5FFB3A486E,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case2,B,Default Resource-000001,2023-03-27 11:08:40.596,2023-03-27 11:08:45.596,Variant 2,2,sid-6BAA60C9-CD08-40D0-B6E2-C448EAF96380,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case2,D,Default Resource-000001,2023-03-27 11:08:45.596,2023-03-27 11:08:50.596,Variant 2,2,sid-488ECB8F-D2C2-4270-99B3-EFA7BC1EA9A0,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case2,E,Default Resource-000001,2023-03-27 11:08:50.596,2023-03-27 11:08:55.596,Variant 2,2,sid-1E13B22C-B767-436C-B5E4-01AE2D93AAB0,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case2,G,Default Resource-000001,2023-03-27 11:08:55.596,2023-03-27 11:09:00.596,Variant 2,2,sid-CAD7EBE4-4F39-44E6-B810-45F6B392E9CB,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case2,C,Default Resource-000001,2023-03-27 11:09:00.596,2023-03-27 11:09:05.596,Variant 2,2,sid-C66D30B9-C993-4841-9852-4B5FFB3A486E,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
Case2,B,Default Resource-000001,2023-03-27 11:09:05.596,2023-03-27 11:09:10.596,Variant 2,2,sid-6BAA60C9-CD08-40D0-B6E2-C448EAF96380,sid-6bd2bd19-44e0-4a2b-a527-2b8ab1384a42,QBP_DEFAULT_RESOURCE
